1	646	12	2904.51963735566
2	323	6	-706.0943161671596
3	484	9	2332.4805544795104
4	269	5	-382.2256851597946
5	323	6	-391.4224642156149
6	377	7	404.4889941229717
7	323	6	-1027.541913531255
8	430	8	87.20652153978415
9	700	13	2912.959665151617
10	700	13	5838.315059955155
11	430	8	842.7971477430068
12	269	5	-537.965613296494
13	377	7	-304.31699838560075
14	538	10	3598.3490638294634
15	430	8	1740.1890011282026
16	813	15	2252.7847007908094
17	592	11	3821.505730439505
18	322	6	-899.5412295240725
19	540	10	612.1069832195597
20	323	6	294.5247195281833
21	647	12	4032.5101590636814
1	357	2	-4322.377318965029
2	541	3	-5335.313487411727
3	356	2	-4400.673521022159
4	1442	8	-8610.73854108859
5	536	3	-4519.72018710916
6	358	2	-3352.166543102042
7	357	2	-3876.655068478211
8	539	3	-3227.861538095516
9	539	3	-2186.215125297872
10	357	2	-3663.1915002452174
11	716	4	-6457.613896682502
12	356	2	-4977.357025139711
13	358	2	-3391.5722229344024
14	357	2	-4249.100377930122
15	357	2	-3724.962385147122
16	358	2	-2877.5269433300987
17	358	2	-2472.0487814652133
18	359	2	-2311.7261829594877
19	358	2	-2858.9287157752697
20	359	2	-2628.0183169230168
21	534	3	-5396.619006997924
22	357	2	-3455.1228341417764
23	357	2	-4354.300812794206
24	892	5	-5374.33946553958
25	718	4	-2286.5883064848445
26	718	4	-4124.166271093616
27	540	3	-5941.143665935557
28	716	4	-3046.9776600988157
29	713	4	-4799.8211270482
30	538	3	-1971.894623445767
31	356	2	-4604.957646385939
32	538	3	-3297.888909046573
33	357	2	-3598.8934960112715
34	535	3	-5949.62315666809
35	719	4	-1673.6081277667831
36	539	3	-2300.1267548085657
37	357	2	-4464.991859339019
38	356	2	-4671.824384362048
39	534	3	-5738.509966850186
40	358	2	-2937.047974749406
41	719	4	-6677.786905164392
42	357	2	-3991.5413365309596
43	719	4	-3056.208484287964
44	712	4	-6085.426604314265
45	537	3	-5308.029877753411
46	532	3	-7332.769719825347
47	716	4	-4496.410260572568
48	355	2	-5189.085666190955
49	718	4	-4655.808430589588
50	358	2	-3122.6051944749315
51	534	3	-6324.786956460629
52	355	2	-5140.461967418933
53	536	3	-4098.91444016137
54	357	2	-3735.4568968039684
55	359	2	-3793.781260339299
56	358	2	-3777.5758473886754
57	358	2	-4178.931225991159
58	356	2	-4373.23008294075
59	902	5	-8651.463646485734
60	538	3	-3441.946312502132
61	358	2	-2941.2974936140417
62	355	2	-5172.572547316689
63	717	4	-4357.30190709566
64	357	2	-4189.776254495196
65	538	3	-2255.7673415469635
66	534	3	-5442.574136931049
67	357	2	-4176.6430631571175
68	1083	6	-6073.140499925167
69	541	3	-5070.022266463878
70	537	3	-2782.9086566426968
71	534	3	-7431.354100124056
72	535	3	-7228.537688530301
73	356	2	-4684.34182302102
74	358	2	-4210.053009766067
75	357	2	-4422.786030832888
76	719	4	-3564.9413635013575
77	356	2	-4639.781441383153
78	535	3	-4380.215311678385
79	360	2	-3368.935248877865
80	537	3	-3123.2667465247496
81	358	2	-3590.0917430836107
82	356	2	-4579.061206194506
83	532	3	-6620.848800334182
84	357	2	-4949.29928867094
85	357	2	-4339.572824122783
86	716	4	-5145.672180099518
87	536	3	-3339.65605235102
88	535	3	-6801.8454059033065
89	358	2	-3240.8943184976433
90	540	3	-3277.4718723775754
91	537	3	-4119.494140702538
92	1444	8	-5111.5050605294555
93	719	4	-4554.845514064234
94	359	2	-3219.9429937754594
95	717	4	-7039.63217693925
96	356	2	-4338.329693549579
97	716	4	-5150.4999442102335
98	709	4	-7455.6178770566785
99	712	4	-6522.682716312648
100	537	3	-3363.4051809231214
101	716	4	-4114.991520686008
102	358	2	-3480.7021434915296
103	536	3	-5531.3418906392735
104	902	5	-4606.637569762405
105	359	2	-4515.041334520725
106	360	2	-3859.4953104987458
107	539	3	-6249.456231413911
108	719	4	-3600.124315581637
109	710	4	-7255.55688710937
110	359	2	-3643.395502987204
111	359	2	-2586.5184889698476
112	357	2	-4032.4679457542493
113	358	2	-3490.8559717985863
114	1080	6	-7336.007961059233
115	538	3	-3583.0174090531336
116	538	3	-5443.695753963748
